seq_len,time_since_start,seq_idx,time_since_last_event,type_event,dim_process
38,"[0.         0.22777778 0.65166667 0.77166667 0.92527778 0.97472222
 1.         1.09388889 1.24944444 1.34027778 1.55222222 1.64861111
 1.70916667 1.71       1.725      2.60805556 3.33666667 3.63861111
 3.68027778 3.81388889 3.8675     4.26527778 4.51555556 4.57222222
 5.86277778 6.22027778 6.24888889 6.47972222 6.49388889 6.53194444
 6.54222222 6.66333333 6.69416667 6.75777778 7.16055556 7.37833333
 7.4        8.05361111]",219,"[0.00000000e+00 2.27777778e-01 4.23888889e-01 1.20000000e-01
 1.53611111e-01 4.94444444e-02 2.52777778e-02 9.38888889e-02
 1.55555556e-01 9.08333333e-02 2.11944444e-01 9.63888889e-02
 6.05555556e-02 8.33333333e-04 1.50000000e-02 8.83055556e-01
 7.28611111e-01 3.01944444e-01 4.16666667e-02 1.33611111e-01
 5.36111111e-02 3.97777778e-01 2.50277778e-01 5.66666667e-02
 1.29055556e+00 3.57500000e-01 2.86111111e-02 2.30833333e-01
 1.41666667e-02 3.80555556e-02 1.02777778e-02 1.21111111e-01
 3.08333333e-02 6.36111111e-02 4.02777778e-01 2.17777778e-01
 2.16666667e-02 6.53611111e-01]","[5 3 8 3 8 3 8 3 8 3 8 3 8 3 8 2 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8
 1]",10
38,"[0.         0.13527778 0.15277778 0.32916667 0.33944444 0.42361111
 0.6425     0.73555556 1.06722222 1.21138889 1.55138889 1.67777778
 1.78222222 2.13555556 2.18222222 2.29166667 2.37111111 2.55277778
 2.63638889 2.82277778 2.86944444 3.17361111 3.53833333 3.61611111
 3.86638889 4.22444444 4.73638889 5.09444444 5.41944444 5.86666667
 6.3775     6.51333333 6.8175     6.91194444 7.25194444 7.45583333
 7.58361111 7.80027778]",220,"[0.         0.13527778 0.0175     0.17638889 0.01027778 0.08416667
 0.21888889 0.09305556 0.33166667 0.14416667 0.34       0.12638889
 0.10444444 0.35333333 0.04666667 0.10944444 0.07944444 0.18166667
 0.08361111 0.18638889 0.04666667 0.30416667 0.36472222 0.07777778
 0.25027778 0.35805556 0.51194444 0.35805556 0.325      0.44722222
 0.51083333 0.13583333 0.30416667 0.09444444 0.34       0.20388889
 0.12777778 0.21666667]","[8 3 8 3 8 3 8 1 8 3 8 3 8 3 8 3 8 3 8 3 8 0 5 0 5 3 8 0 5 1 8 3 8 3 8 3 8
 3]",10
36,"[0.         0.03611111 0.13972222 0.29166667 0.42333333 0.69
 0.9025     1.16583333 1.54472222 1.97861111 2.02611111 2.14638889
 2.22583333 2.53611111 2.67083333 2.81972222 2.96055556 3.38
 3.74194444 4.02222222 4.70083333 4.93944444 5.34083333 5.62416667
 5.73527778 5.96361111 6.06194444 6.38611111 6.42944444 6.49527778
 6.60138889 6.66361111 6.68166667 6.90111111 6.96472222 7.46333333]",221,"[0.         0.03611111 0.10361111 0.15194444 0.13166667 0.26666667
 0.2125     0.26333333 0.37888889 0.43388889 0.0475     0.12027778
 0.07944444 0.31027778 0.13472222 0.14888889 0.14083333 0.41944444
 0.36194444 0.28027778 0.67861111 0.23861111 0.40138889 0.28333333
 0.11111111 0.22833333 0.09833333 0.32416667 0.04333333 0.06583333
 0.10611111 0.06222222 0.01805556 0.21944444 0.06361111 0.49861111]",[8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 4 5 3 8 3 8 3 8 3 8 3 8 3],10
38,"[0.         0.23333333 0.26638889 0.53333333 0.59       0.80166667
 0.89833333 1.02222222 1.06583333 1.3675     1.47       1.75138889
 1.95666667 2.07305556 2.13472222 2.41       2.4225     2.91583333
 3.18611111 3.52305556 4.00833333 4.1075     4.24194444 4.43722222
 4.48138889 4.64555556 4.69027778 4.91083333 6.33277778 6.985
 7.05194444 7.21916667 7.62305556 7.72388889 7.73666667 7.95416667
 7.96888889 8.06472222]",222,"[0.         0.23333333 0.03305556 0.26694444 0.05666667 0.21166667
 0.09666667 0.12388889 0.04361111 0.30166667 0.1025     0.28138889
 0.20527778 0.11638889 0.06166667 0.27527778 0.0125     0.49333333
 0.27027778 0.33694444 0.48527778 0.09916667 0.13444444 0.19527778
 0.04416667 0.16416667 0.04472222 0.22055556 1.42194444 0.65222222
 0.06694444 0.16722222 0.40388889 0.10083333 0.01277778 0.2175
 0.01472222 0.09583333]","[8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 0 5 3 8 3 8 3 8 3 8 3 8 3 8 3 5 3 8 3 8
 3]",10
36,"[0.         0.18333333 0.22666667 0.365      0.38694444 0.44833333
 0.62333333 0.90666667 0.99861111 1.27333333 1.28472222 1.44472222
 1.65805556 1.79694444 1.92833333 2.05722222 2.19916667 2.80583333
 4.31472222 4.68194444 5.14472222 5.25833333 5.44972222 5.53611111
 5.56694444 5.85944444 5.98       6.36527778 6.41888889 6.46944444
 6.57611111 6.64861111 6.66138889 6.77388889 6.85277778 6.88805556]",223,"[0.         0.18333333 0.04333333 0.13833333 0.02194444 0.06138889
 0.175      0.28333333 0.09194444 0.27472222 0.01138889 0.16
 0.21333333 0.13888889 0.13138889 0.12888889 0.14194444 0.60666667
 1.50888889 0.36722222 0.46277778 0.11361111 0.19138889 0.08638889
 0.03083333 0.2925     0.12055556 0.38527778 0.05361111 0.05055556
 0.10666667 0.0725     0.01277778 0.1125     0.07888889 0.03527778]",[8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 0 5 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3],10
38,"[0.         0.25472222 0.41916667 0.52527778 0.60722222 0.705
 0.775      1.28305556 1.54444444 1.76555556 2.20916667 2.36805556
 2.40361111 2.48638889 2.51277778 2.63194444 2.64472222 2.79416667
 2.90472222 2.96138889 2.97055556 3.00166667 3.04444444 3.19333333
 3.40222222 3.71722222 3.81361111 4.00777778 4.69666667 5.03305556
 5.16833333 5.30888889 5.40444444 5.64222222 5.7275     5.95555556
 6.1925     6.39888889]",224,"[0.         0.25472222 0.16444444 0.10611111 0.08194444 0.09777778
 0.07       0.50805556 0.26138889 0.22111111 0.44361111 0.15888889
 0.03555556 0.08277778 0.02638889 0.11916667 0.01277778 0.14944444
 0.11055556 0.05666667 0.00916667 0.03111111 0.04277778 0.14888889
 0.20888889 0.315      0.09638889 0.19416667 0.68888889 0.33638889
 0.13527778 0.14055556 0.09555556 0.23777778 0.08527778 0.22805556
 0.23694444 0.20638889]","[8 3 8 3 8 3 8 1 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8
 3]",10
36,"[0.         0.36555556 0.55361111 0.7575     0.78277778 1.02611111
 1.305      1.52027778 1.53972222 1.80027778 1.97833333 2.17222222
 2.27972222 2.7075     3.06472222 3.18527778 3.20416667 3.45416667
 3.51       3.64472222 4.02638889 4.13444444 4.23055556 4.33944444
 5.17972222 5.28111111 5.36944444 5.40777778 5.50333333 5.56694444
 5.71777778 5.89138889 6.92361111 7.04833333 7.18722222 7.29166667]",225,"[0.         0.36555556 0.18805556 0.20388889 0.02527778 0.24333333
 0.27888889 0.21527778 0.01944444 0.26055556 0.17805556 0.19388889
 0.1075     0.42777778 0.35722222 0.12055556 0.01888889 0.25
 0.05583333 0.13472222 0.38166667 0.10805556 0.09611111 0.10888889
 0.84027778 0.10138889 0.08833333 0.03833333 0.09555556 0.06361111
 0.15083333 0.17361111 1.03222222 0.12472222 0.13888889 0.10444444]",[5 1 6 3 8 3 5 3 8 3 8 3 8 1 8 3 8 1 6 1 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3],10
36,"[0.         0.11305556 0.36722222 0.44166667 0.66583333 1.09972222
 1.27972222 1.88805556 2.10472222 2.30666667 2.32805556 2.37805556
 2.41305556 2.77805556 2.92083333 3.1675     3.34944444 3.47916667
 3.56694444 3.83805556 3.88583333 3.97861111 3.99583333 4.19694444
 4.52444444 4.52555556 4.53055556 4.9125     5.80416667 6.245
 6.30694444 6.36277778 6.74333333 7.36944444 8.02444444 8.58166667]",226,"[0.         0.11305556 0.25416667 0.07444444 0.22416667 0.43388889
 0.18       0.60833333 0.21666667 0.20194444 0.02138889 0.05
 0.035      0.365      0.14277778 0.24666667 0.18194444 0.12972222
 0.08777778 0.27111111 0.04777778 0.09277778 0.01722222 0.20111111
 0.3275     0.00111111 0.005      0.38194444 0.89166667 0.44083333
 0.06194444 0.05583333 0.38055556 0.62611111 0.655      0.55722222]",[8 3 8 3 8 0 5 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 0 5 3 8 3 8 0 5 1],10
38,"[0.         0.13083333 0.50611111 0.62611111 0.92083333 0.96972222
 0.98277778 1.14166667 1.21027778 1.29777778 1.54083333 1.70944444
 1.85444444 1.90527778 1.98694444 2.20916667 2.22972222 2.40555556
 2.61583333 2.65472222 3.81       3.92277778 3.93972222 4.01083333
 4.03388889 4.15416667 4.21222222 4.42555556 4.46       4.58527778
 4.65333333 4.85277778 4.9125     5.01777778 5.39722222 5.50916667
 5.52111111 5.79388889]",227,"[0.         0.13083333 0.37527778 0.12       0.29472222 0.04888889
 0.01305556 0.15888889 0.06861111 0.0875     0.24305556 0.16861111
 0.145      0.05083333 0.08166667 0.22222222 0.02055556 0.17583333
 0.21027778 0.03888889 1.15527778 0.11277778 0.01694444 0.07111111
 0.02305556 0.12027778 0.05805556 0.21333333 0.03444444 0.12527778
 0.06805556 0.19944444 0.05972222 0.10527778 0.37944444 0.11194444
 0.01194444 0.27277778]","[8 0 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8
 3]",10
38,"[ 0.          1.20583333  1.2225      1.47416667  1.60333333  1.73555556
  1.80861111  2.02555556  2.12444444  2.47527778  4.29333333  5.18333333
  6.08527778  6.89722222  6.90638889  7.00472222  7.15        7.40027778
  7.48027778  7.53583333  7.57166667  7.92888889  8.0025      8.13166667
  8.22777778  8.46555556  8.5275      8.67805556  8.77583333  9.08555556
  9.15305556 10.03194444 11.40361111 12.16666667 14.33638889 14.83277778
 17.15638889 17.71694444]",228,"[0.         1.20583333 0.01666667 0.25166667 0.12916667 0.13222222
 0.07305556 0.21694444 0.09888889 0.35083333 1.81805556 0.89
 0.90194444 0.81194444 0.00916667 0.09833333 0.14527778 0.25027778
 0.08       0.05555556 0.03583333 0.35722222 0.07361111 0.12916667
 0.09611111 0.23777778 0.06194444 0.15055556 0.09777778 0.30972222
 0.0675     0.87888889 1.37166667 0.76305556 2.16972222 0.49638889
 2.32361111 0.56055556]","[5 3 8 3 8 3 8 3 8 3 5 1 5 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 0 5 3 5 3 5
 1]",10
38,"[0.         0.28277778 0.43694444 0.59388889 0.96666667 1.35166667
 1.40138889 1.65916667 1.83472222 1.94444444 2.13611111 2.42138889
 2.47194444 2.58472222 2.625      2.89777778 3.15305556 3.29138889
 3.65444444 3.84722222 4.81       5.11444444 5.16694444 5.46888889
 5.495      5.72305556 5.85333333 6.07583333 6.1525     6.21416667
 6.27       6.38527778 6.42138889 6.61916667 6.81944444 7.0375
 7.07       7.7025    ]",229,"[0.         0.28277778 0.15416667 0.15694444 0.37277778 0.385
 0.04972222 0.25777778 0.17555556 0.10972222 0.19166667 0.28527778
 0.05055556 0.11277778 0.04027778 0.27277778 0.25527778 0.13833333
 0.36305556 0.19277778 0.96277778 0.30444444 0.0525     0.30194444
 0.02611111 0.22805556 0.13027778 0.2225     0.07666667 0.06166667
 0.05583333 0.11527778 0.03611111 0.19777778 0.20027778 0.21805556
 0.0325     0.6325    ]","[6 3 8 3 8 3 6 3 8 3 8 3 8 3 8 3 8 3 6 1 6 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8
 0]",10
38,"[0.         0.39027778 0.45305556 0.68       0.73138889 1.11
 1.2        1.46888889 1.54305556 1.77388889 1.8125     1.97444444
 2.00916667 2.38361111 2.60555556 2.83916667 2.88611111 3.04027778
 3.12444444 3.28083333 3.32527778 3.65277778 3.68916667 3.89055556
 3.93444444 4.23611111 4.31972222 4.57833333 4.75277778 4.92416667
 4.95861111 5.04055556 5.2075     5.43361111 5.45277778 5.71444444
 5.86722222 5.92722222]",230,"[0.         0.39027778 0.06277778 0.22694444 0.05138889 0.37861111
 0.09       0.26888889 0.07416667 0.23083333 0.03861111 0.16194444
 0.03472222 0.37444444 0.22194444 0.23361111 0.04694444 0.15416667
 0.08416667 0.15638889 0.04444444 0.3275     0.03638889 0.20138889
 0.04388889 0.30166667 0.08361111 0.25861111 0.17444444 0.17138889
 0.03444444 0.08194444 0.16694444 0.22611111 0.01916667 0.26166667
 0.15277778 0.06      ]","[8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8
 3]",10
38,"[0.         0.08277778 0.09777778 0.21833333 0.72833333 0.76833333
 0.91777778 1.03777778 1.15305556 1.39472222 1.53194444 1.605
 1.64444444 1.83194444 1.91472222 2.04972222 2.12722222 2.25166667
 2.37833333 2.58111111 2.95611111 3.17611111 3.32638889 3.40888889
 3.65583333 3.75888889 3.79277778 3.90972222 6.22666667 6.29638889
 7.04333333 7.24305556 7.61472222 7.88083333 8.47555556 8.80666667
 9.04777778 9.19277778]",231,"[0.         0.08277778 0.015      0.12055556 0.51       0.04
 0.14944444 0.12       0.11527778 0.24166667 0.13722222 0.07305556
 0.03944444 0.1875     0.08277778 0.135      0.0775     0.12444444
 0.12666667 0.20277778 0.375      0.22       0.15027778 0.0825
 0.24694444 0.10305556 0.03388889 0.11694444 2.31694444 0.06972222
 0.74694444 0.19972222 0.37166667 0.26611111 0.59472222 0.33111111
 0.24111111 0.145     ]","[8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 4 8
 3]",10
36,"[0.         0.29583333 0.36027778 0.49888889 0.57194444 0.6925
 0.72083333 0.87805556 0.90333333 0.99694444 1.08583333 1.18194444
 1.21944444 1.32222222 1.35138889 1.49472222 1.95166667 2.08305556
 2.13472222 2.35805556 2.46388889 2.5675     2.61666667 2.66222222
 2.67861111 2.92222222 3.48111111 3.80527778 4.44527778 4.70166667
 6.16527778 6.43194444 6.67388889 6.93722222 7.21694444 7.57638889]",232,"[0.         0.29583333 0.06444444 0.13861111 0.07305556 0.12055556
 0.02833333 0.15722222 0.02527778 0.09361111 0.08888889 0.09611111
 0.0375     0.10277778 0.02916667 0.14333333 0.45694444 0.13138889
 0.05166667 0.22333333 0.10583333 0.10361111 0.04916667 0.04555556
 0.01638889 0.24361111 0.55888889 0.32416667 0.64       0.25638889
 1.46361111 0.26666667 0.24194444 0.26333333 0.27972222 0.35944444]",[5 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 1 5 1 5 3 8 3 8 1 8 0],10
36,"[0.         0.44805556 0.6325     0.91833333 0.96694444 1.19194444
 1.2325     1.375      1.41055556 1.73361111 1.92277778 2.31305556
 3.28111111 3.48194444 4.07555556 4.35111111 4.68916667 5.71222222
 6.15111111 7.01083333 7.04138889 7.2675     7.32222222 7.42138889
 7.45111111 7.71416667 7.72638889 7.94055556 7.94666667 7.98694444
 8.01388889 8.10472222 8.1475     8.17583333 8.34222222 8.645     ]",233,"[0.         0.44805556 0.18444444 0.28583333 0.04861111 0.225
 0.04055556 0.1425     0.03555556 0.32305556 0.18916667 0.39027778
 0.96805556 0.20083333 0.59361111 0.27555556 0.33805556 1.02305556
 0.43888889 0.85972222 0.03055556 0.22611111 0.05472222 0.09916667
 0.02972222 0.26305556 0.01222222 0.21416667 0.00611111 0.04027778
 0.02694444 0.09083333 0.04277778 0.02833333 0.16638889 0.30277778]",[5 3 8 3 8 3 8 3 8 3 8 0 5 3 8 3 8 0 5 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 0],10
38,"[ 0.          0.51055556  1.79166667  2.40138889  2.43166667  2.52916667
  2.5825      2.78083333  2.79888889  2.84861111  3.45916667  4.19722222
  4.23555556  4.37972222  4.53527778  4.75638889  5.20222222  5.53666667
  6.21555556  6.69444444  9.46944444  9.53916667  9.57555556  9.74333333
  9.84027778 10.17861111 10.56305556 10.6925     10.80055556 10.88472222
 10.94861111 11.05527778 13.35472222 13.65555556 13.8775     14.01388889
 14.19583333 14.54361111]",234,"[0.         0.51055556 1.28111111 0.60972222 0.03027778 0.0975
 0.05333333 0.19833333 0.01805556 0.04972222 0.61055556 0.73805556
 0.03833333 0.14416667 0.15555556 0.22111111 0.44583333 0.33444444
 0.67888889 0.47888889 2.775      0.06972222 0.03638889 0.16777778
 0.09694444 0.33833333 0.38444444 0.12944444 0.10805556 0.08416667
 0.06388889 0.10666667 2.29944444 0.30083333 0.22194444 0.13638889
 0.18194444 0.34777778]","[5 3 5 3 8 3 5 3 8 3 5 3 8 3 5 0 5 0 5 3 8 3 8 3 8 0 8 3 8 3 8 3 8 1 6 1 6
 0]",10
38,"[ 0.          0.55888889  1.12888889  1.56111111  1.60111111  2.00194444
  2.18222222  2.37416667  2.93694444  3.29805556  3.62527778  3.80194444
  3.99527778  4.10194444  4.12083333  4.18527778  4.23138889  4.31388889
  4.44666667  4.63        4.87111111  5.08166667  5.18138889  5.37277778
  5.52805556  5.79027778  6.23611111  6.53805556  6.91027778  6.97333333
  8.01527778  8.33        8.97        9.17833333 10.86694444 11.01472222
 11.24305556 11.64166667]",235,"[0.         0.55888889 0.57       0.43222222 0.04       0.40083333
 0.18027778 0.19194444 0.56277778 0.36111111 0.32722222 0.17666667
 0.19333333 0.10666667 0.01888889 0.06444444 0.04611111 0.0825
 0.13277778 0.18333333 0.24111111 0.21055556 0.09972222 0.19138889
 0.15527778 0.26222222 0.44583333 0.30194444 0.37222222 0.06305556
 1.04194444 0.31472222 0.64       0.20833333 1.68861111 0.14777778
 0.22833333 0.39861111]","[5 1 5 3 8 1 6 0 5 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 1 8 3 8 3 8 1 8 3 8 3 8
 0]",10
36,"[0.         0.14527778 0.17388889 0.33555556 0.35277778 0.815
 1.32916667 1.63305556 1.65361111 1.91194444 1.93222222 2.17222222
 2.41027778 2.59638889 2.61388889 2.86694444 2.90527778 3.00388889
 3.38194444 3.43166667 3.51055556 3.66361111 3.71583333 3.76305556
 3.84444444 4.01111111 4.04194444 4.25805556 5.25       5.59777778
 5.61861111 5.75111111 6.47388889 6.77944444 7.22555556 7.30027778]",236,"[0.         0.14527778 0.02861111 0.16166667 0.01722222 0.46222222
 0.51416667 0.30388889 0.02055556 0.25833333 0.02027778 0.24
 0.23805556 0.18611111 0.0175     0.25305556 0.03833333 0.09861111
 0.37805556 0.04972222 0.07888889 0.15305556 0.05222222 0.04722222
 0.08138889 0.16666667 0.03083333 0.21611111 0.99194444 0.34777778
 0.02083333 0.1325     0.72277778 0.30555556 0.44611111 0.07472222]",[8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 1 6 1 8 3 8 3 8 3 8 3 8 0 5 3 8 3 8 3 8 3],10
36,"[0.         0.07944444 0.10416667 0.16444444 0.37583333 0.51888889
 0.54833333 0.69138889 0.88694444 1.18194444 1.26944444 1.35111111
 1.36055556 1.43472222 1.87194444 2.10722222 2.12166667 2.31444444
 2.74       2.95277778 3.15       3.22361111 3.31361111 3.55333333
 3.63694444 3.92638889 5.38       5.58805556 5.64861111 5.91527778
 6.02777778 6.10416667 6.22611111 6.32027778 6.33638889 6.74694444]",237,"[0.         0.07944444 0.02472222 0.06027778 0.21138889 0.14305556
 0.02944444 0.14305556 0.19555556 0.295      0.0875     0.08166667
 0.00944444 0.07416667 0.43722222 0.23527778 0.01444444 0.19277778
 0.42555556 0.21277778 0.19722222 0.07361111 0.09       0.23972222
 0.08361111 0.28944444 1.45361111 0.20805556 0.06055556 0.26666667
 0.1125     0.07638889 0.12194444 0.09416667 0.01611111 0.41055556]",[8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 1],10
36,"[ 0.          0.11444444  0.25        0.40305556  0.50638889  0.69444444
  0.74805556  0.91138889  1.10194444  1.25972222  2.83777778  3.25388889
  3.29472222  3.47944444  3.56277778  3.65166667  7.33916667  8.17972222
  8.20444444  8.28555556  8.33194444  8.46        8.54333333  8.87305556
  8.93861111  9.01305556  9.04055556  9.34055556  9.44611111  9.70472222
  9.74666667 10.02944444 10.04138889 10.31       10.3275     10.37527778]",238,"[0.         0.11444444 0.13555556 0.15305556 0.10333333 0.18805556
 0.05361111 0.16333333 0.19055556 0.15777778 1.57805556 0.41611111
 0.04083333 0.18472222 0.08333333 0.08888889 3.6875     0.84055556
 0.02472222 0.08111111 0.04638889 0.12805556 0.08333333 0.32972222
 0.06555556 0.07444444 0.0275     0.3        0.10555556 0.25861111
 0.04194444 0.28277778 0.01194444 0.26861111 0.0175     0.04777778]",[8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 5 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3],10
38,"[0.         0.35638889 0.41416667 0.58166667 0.86555556 0.95944444
 1.00055556 1.05027778 1.12333333 1.29222222 1.56694444 1.77583333
 1.99916667 2.08777778 2.22222222 2.35833333 2.44138889 2.56277778
 3.20111111 3.27666667 3.40666667 3.53       3.62666667 3.85277778
 3.90861111 4.54333333 5.09305556 5.25833333 5.64444444 5.6975
 5.92166667 6.06305556 6.15944444 6.30861111 6.79583333 6.93972222
 7.44166667 7.55694444]",239,"[0.         0.35638889 0.05777778 0.1675     0.28388889 0.09388889
 0.04111111 0.04972222 0.07305556 0.16888889 0.27472222 0.20888889
 0.22333333 0.08861111 0.13444444 0.13611111 0.08305556 0.12138889
 0.63833333 0.07555556 0.13       0.12333333 0.09666667 0.22611111
 0.05583333 0.63472222 0.54972222 0.16527778 0.38611111 0.05305556
 0.22416667 0.14138889 0.09638889 0.14916667 0.48722222 0.14388889
 0.50194444 0.11527778]","[8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 6
 1]",10
38,"[0.         0.40388889 0.47361111 0.59833333 0.70583333 1.02555556
 1.08833333 1.31527778 1.43888889 2.1925     2.97055556 3.38555556
 3.42527778 3.69638889 3.72638889 3.82638889 3.9675     4.07555556
 4.51972222 4.89027778 4.91861111 5.16638889 5.37       5.45916667
 5.60083333 5.91833333 6.34277778 6.57888889 6.80472222 7.04083333
 7.06       7.27111111 7.37166667 7.50888889 7.66444444 7.91222222
 8.03861111 8.08138889]",240,"[0.         0.40388889 0.06972222 0.12472222 0.1075     0.31972222
 0.06277778 0.22694444 0.12361111 0.75361111 0.77805556 0.415
 0.03972222 0.27111111 0.03       0.1        0.14111111 0.10805556
 0.44416667 0.37055556 0.02833333 0.24777778 0.20361111 0.08916667
 0.14166667 0.3175     0.42444444 0.23611111 0.22583333 0.23611111
 0.01916667 0.21111111 0.10055556 0.13722222 0.15555556 0.24777778
 0.12638889 0.04277778]","[6 3 8 3 8 3 8 3 8 0 5 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8
 3]",10
38,"[0.         0.47194444 0.60111111 0.75055556 0.88555556 0.98861111
 1.1525     1.30083333 1.55388889 1.71       1.73       1.89916667
 2.12472222 2.62388889 3.80055556 4.04277778 4.08305556 4.43555556
 4.61666667 4.78722222 4.90361111 5.15833333 5.20027778 5.33194444
 5.40277778 5.53305556 5.54722222 5.92416667 5.99777778 6.21638889
 6.23888889 6.54472222 6.57194444 6.69555556 6.88083333 7.02
 7.02666667 8.01333333]",241,"[0.         0.47194444 0.12916667 0.14944444 0.135      0.10305556
 0.16388889 0.14833333 0.25305556 0.15611111 0.02       0.16916667
 0.22555556 0.49916667 1.17666667 0.24222222 0.04027778 0.3525
 0.18111111 0.17055556 0.11638889 0.25472222 0.04194444 0.13166667
 0.07083333 0.13027778 0.01416667 0.37694444 0.07361111 0.21861111
 0.0225     0.30583333 0.02722222 0.12361111 0.18527778 0.13916667
 0.00666667 0.98666667]","[8 3 8 3 8 3 8 3 8 3 8 3 8 0 5 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8
 0]",10
38,"[0.         0.60777778 0.64055556 0.72305556 0.84472222 1.01027778
 1.03361111 1.25861111 1.49361111 1.695      1.70722222 1.78638889
 1.80777778 2.23166667 2.32027778 2.47166667 2.68472222 2.89027778
 2.93111111 2.96777778 3.9225     4.17111111 4.27944444 4.47583333
 4.50083333 4.70805556 4.98111111 5.26388889 5.49444444 5.73555556
 5.95416667 6.13416667 6.28       6.58611111 6.98777778 7.16583333
 7.22833333 7.53555556]",242,"[0.         0.60777778 0.03277778 0.0825     0.12166667 0.16555556
 0.02333333 0.225      0.235      0.20138889 0.01222222 0.07916667
 0.02138889 0.42388889 0.08861111 0.15138889 0.21305556 0.20555556
 0.04083333 0.03666667 0.95472222 0.24861111 0.10833333 0.19638889
 0.025      0.20722222 0.27305556 0.28277778 0.23055556 0.24111111
 0.21861111 0.18       0.14583333 0.30611111 0.40166667 0.17805556
 0.0625     0.30722222]","[5 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 0 8 3 8
 1]",10
38,"[0.         0.38944444 1.14805556 1.54416667 1.91361111 2.08361111
 2.16083333 2.23944444 2.32722222 2.4325     2.455      2.57027778
 2.59638889 2.67222222 2.72111111 2.81694444 3.12111111 3.36277778
 3.48       3.59722222 3.71277778 3.98861111 4.12055556 4.73694444
 4.98       5.3725     5.59055556 5.80916667 5.8975     6.07638889
 6.11555556 6.27916667 6.31111111 6.65805556 7.52111111 7.62527778
 7.79916667 8.00416667]",243,"[0.         0.38944444 0.75861111 0.39611111 0.36944444 0.17
 0.07722222 0.07861111 0.08777778 0.10527778 0.0225     0.11527778
 0.02611111 0.07583333 0.04888889 0.09583333 0.30416667 0.24166667
 0.11722222 0.11722222 0.11555556 0.27583333 0.13194444 0.61638889
 0.24305556 0.3925     0.21805556 0.21861111 0.08833333 0.17888889
 0.03916667 0.16361111 0.03194444 0.34694444 0.86305556 0.10416667
 0.17388889 0.205     ]","[5 1 5 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 0 5 3 8 3 8 3 8 3 8 3 8 3 8
 1]",10
38,"[0.         0.29722222 0.37361111 0.43222222 0.51722222 0.72666667
 0.78111111 0.87916667 0.93611111 1.01111111 1.035      1.11583333
 2.06027778 2.235      2.40166667 2.59611111 2.7        2.8025
 3.60861111 3.83277778 3.98611111 4.17055556 4.26138889 4.30416667
 4.44833333 4.53111111 4.61833333 4.89888889 4.96888889 5.09722222
 5.45361111 5.54194444 5.67       5.97611111 6.23305556 6.26333333
 6.94555556 7.31055556]",244,"[0.         0.29722222 0.07638889 0.05861111 0.085      0.20944444
 0.05444444 0.09805556 0.05694444 0.075      0.02388889 0.08083333
 0.94444444 0.17472222 0.16666667 0.19444444 0.10388889 0.1025
 0.80611111 0.22416667 0.15333333 0.18444444 0.09083333 0.04277778
 0.14416667 0.08277778 0.08722222 0.28055556 0.07       0.12833333
 0.35638889 0.08833333 0.12805556 0.30611111 0.25694444 0.03027778
 0.68222222 0.365     ]","[8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 1 6 3 8 3 8 3 8 3 8 3 8 3 8 1 6 1 8
 0]",10
